"time","US"
2004-01-01,35
2004-02-01,33
2004-03-01,33
2004-04-01,33
2004-05-01,33
2004-06-01,38
2004-07-01,39
2004-08-01,37
2004-09-01,29
2004-10-01,28
2004-11-01,26
2004-12-01,28
2005-01-01,35
2005-02-01,34
2005-03-01,36
2005-04-01,33
2005-05-01,34
2005-06-01,38
2005-07-01,38
2005-08-01,35
2005-09-01,29
2005-10-01,26
2005-11-01,24
2005-12-01,22
2006-01-01,32
2006-02-01,31
2006-03-01,32
2006-04-01,31
2006-05-01,32
2006-06-01,35
2006-07-01,37
2006-08-01,38
2006-09-01,34
2006-10-01,32
2006-11-01,31
2006-12-01,30
2007-01-01,41
2007-02-01,40
2007-03-01,52
2007-04-01,51
2007-05-01,46
2007-06-01,47
2007-07-01,54
2007-08-01,62
2007-09-01,57
2007-10-01,52
2007-11-01,58
2007-12-01,50
2008-01-01,74
2008-02-01,76
2008-03-01,83
2008-04-01,78
2008-05-01,72
2008-06-01,79
2008-07-01,85
2008-08-01,75
2008-09-01,77
2008-10-01,81
2008-11-01,71
2008-12-01,68
2009-01-01,88
2009-02-01,100
2009-03-01,99
2009-04-01,83
2009-05-01,73
2009-06-01,72
2009-07-01,71
2009-08-01,70
2009-09-01,60
2009-10-01,55
2009-11-01,51
2009-12-01,47
2010-01-01,61
2010-02-01,59
2010-03-01,59
2010-04-01,56
2010-05-01,53
2010-06-01,55
2010-07-01,55
2010-08-01,54
2010-09-01,50
2010-10-01,65
2010-11-01,44
2010-12-01,41
2011-01-01,66
2011-02-01,58
2011-03-01,54
2011-04-01,54
2011-05-01,53
2011-06-01,54
2011-07-01,54
2011-08-01,52
2011-09-01,48
2011-10-01,45
2011-11-01,41
2011-12-01,40
2012-01-01,51
2012-02-01,53
2012-03-01,45
2012-04-01,44
2012-05-01,42
2012-06-01,42
2012-07-01,43
2012-08-01,40
2012-09-01,37
2012-10-01,34
2012-11-01,30
2012-12-01,28
2013-01-01,38
2013-02-01,36
2013-03-01,37
2013-04-01,39
2013-05-01,33
2013-06-01,33
2013-07-01,33
2013-08-01,30
2013-09-01,28
2013-10-01,26
2013-11-01,24
2013-12-01,23
2014-01-01,30
2014-02-01,29
2014-03-01,29
2014-04-01,28
2014-05-01,26
2014-06-01,27
2014-07-01,28
2014-08-01,26
2014-09-01,24
2014-10-01,23
2014-11-01,20
2014-12-01,20
2015-01-01,25
2015-02-01,25
2015-03-01,25
2015-04-01,24
2015-05-01,23
2015-06-01,24
2015-07-01,25
2015-08-01,24
2015-09-01,21
2015-10-01,20
2015-11-01,18
2015-12-01,18
2016-01-01,23
2016-02-01,22
2016-03-01,21
2016-04-01,22
2016-05-01,21
2016-06-01,21
2016-07-01,21
2016-08-01,21
2016-09-01,18
2016-10-01,17
